Round,Hotspot_Energy_Ratio,Coverage_Ratio,k,f
557,0.0339,0.9977,8,0.5
558,0.0338,0.9977,8,0.5
559,0.0336,0.9977,8,0.5
560,0.0334,0.9977,8,0.5
561,0.0332,0.9977,8,0.5
562,0.0331,0.9977,8,0.5
563,0.0328,0.9977,8,0.5
564,0.0323,0.9977,8,0.5
565,0.0322,0.9977,8,0.5
566,0.0319,0.9977,8,0.5
567,0.0316,0.9977,8,0.5
568,0.0311,0.9977,8,0.5
569,0.0309,0.9977,8,0.5
570,0.0305,0.9977,8,0.5
571,0.0304,0.9977,8,0.5
572,0.0302,0.9977,8,0.5
573,0.03,0.9977,8,0.5
574,0.0296,0.9977,8,0.5
575,0.0291,0.9977,8,0.5
576,0.0286,0.9977,8,0.5
577,0.0285,0.9977,8,0.5
578,0.0282,0.9977,8,0.5
579,0.0277,0.9977,8,0.5
580,0.0275,0.9977,8,0.5
581,0.0272,0.9977,8,0.5
582,0.0267,0.9977,8,0.5
583,0.0266,0.9977,8,0.5
584,0.0263,0.9977,8,0.5
585,0.0261,0.9977,8,0.5
586,0.0259,0.9977,8,0.5
587,0.0256,0.9977,8,0.5
588,0.0251,0.9977,8,0.5
589,0.0248,0.9977,8,0.5
590,0.0244,0.9977,8,0.5
591,0.024,0.9977,8,0.5
592,0.0238,0.9977,8,0.5
593,0.023,0.9977,8,0.5
594,0.0226,0.9977,8,0.5
595,0.0219,0.9977,8,0.5
596,0.0216,0.9977,8,0.5
597,0.0211,0.9977,8,0.5
598,0.0207,0.9977,8,0.5
599,0.0205,0.9977,8,0.5
600,0.0201,0.9977,8,0.5
601,0.0198,0.9977,8,0.5
602,0.0195,0.9977,8,0.5
603,0.019,0.9977,8,0.5
604,0.0189,0.9977,8,0.5
605,0.0187,0.9977,8,0.5
606,0.0185,0.9977,8,0.5
607,0.0184,0.9977,8,0.5
608,0.018,0.9977,8,0.5
609,0.0175,0.9977,8,0.5
610,0.0172,0.9977,8,0.5
611,0.0166,0.9977,8,0.5
612,0.0161,0.9977,8,0.5
613,0.0157,0.9977,8,0.5
614,0.0155,0.9977,8,0.5
615,0.0153,0.9977,8,0.5
616,0.0152,0.9973,8,0.5
617,0.0152,0.9973,8,0.5
618,0.0152,0.9973,8,0.5
619,0.0152,0.9973,8,0.5
620,0.0152,0.9973,8,0.5
621,0.0152,0.9973,8,0.5
622,0.0152,0.9973,8,0.5
623,0.0152,0.9973,8,0.5
624,0.0149,0.9973,8,0.5
625,0.0146,0.9973,8,0.5
626,0.0146,0.9973,8,0.5
627,0.0146,0.9973,8,0.5
628,0.0146,0.9973,8,0.5
629,0.0146,0.9973,8,0.5
630,0.0146,0.9973,8,0.5
631,0.0146,0.9973,8,0.5
632,0.0146,0.9973,8,0.5
633,0.0146,0.9973,8,0.5
634,0.0146,0.9973,8,0.5
635,0.0146,0.9973,8,0.5
636,0.0146,0.9973,8,0.5
637,0.0143,0.9973,8,0.5
638,0.0142,0.9973,8,0.5
639,0.0142,0.9973,8,0.5
640,0.0142,0.9973,8,0.5
641,0.0142,0.9973,8,0.5
642,0.014,0.9973,8,0.5
643,0.014,0.9973,8,0.5
644,0.014,0.9973,8,0.5
645,0.014,0.9973,8,0.5
646,0.014,0.9973,8,0.5
647,0.014,0.9973,8,0.5
648,0.014,0.9973,8,0.5
649,0.0137,0.9973,8,0.5
650,0.0135,0.9973,8,0.5
651,0.0133,0.9973,8,0.5
652,0.013,0.9973,8,0.5
653,0.0128,0.9973,8,0.5
654,0.0126,0.9973,8,0.5
655,0.0126,0.9973,8,0.5
656,0.0125,0.9973,8,0.5
657,0.0125,0.9973,8,0.5
658,0.0123,0.9973,8,0.5
659,0.0123,0.9973,8,0.5
660,0.0123,0.9973,8,0.5
661,0.0118,0.9973,8,0.5
662,0.0118,0.9973,8,0.5
663,0.0115,0.9973,8,0.5
664,0.0115,0.9973,8,0.5
665,0.0115,0.9973,8,0.5
666,0.0115,0.9973,8,0.5
667,0.0115,0.9973,8,0.5
668,0.0115,0.9973,8,0.5
669,0.0113,0.9973,8,0.5
670,0.0111,0.9973,8,0.5
671,0.0108,0.9973,8,0.5
672,0.0106,0.9973,8,0.5
673,0.0106,0.9973,8,0.5
674,0.0106,0.9973,8,0.5
675,0.0106,0.9973,8,0.5
676,0.0106,0.9973,8,0.5
677,0.0101,0.9973,8,0.5
678,0.0099,0.9973,8,0.5
679,0.0097,0.9973,8,0.5
680,0.0097,0.9973,8,0.5
681,0.0097,0.9973,8,0.5
682,0.0096,0.9973,8,0.5
683,0.0096,0.9973,8,0.5
684,0.0094,0.9973,8,0.5
685,0.0094,0.9973,8,0.5
686,0.0092,0.9973,8,0.5
687,0.0091,0.9973,8,0.5
688,0.0091,0.9973,8,0.5
689,0.0091,0.9973,8,0.5
690,0.0088,0.9973,8,0.5
691,0.0088,0.9973,8,0.5
692,0.0088,0.9973,8,0.5
693,0.0085,0.9973,8,0.5
694,0.0085,0.9973,8,0.5
695,0.0085,0.9973,8,0.5
696,0.0085,0.9973,8,0.5
697,0.0083,0.9973,8,0.5
698,0.0083,0.9973,8,0.5
699,0.0083,0.9973,8,0.5
700,0.0083,0.9973,8,0.5
701,0.0083,0.9973,8,0.5
702,0.0083,0.9973,8,0.5
703,0.0083,0.9973,8,0.5
704,0.0083,0.9973,8,0.5
705,0.0083,0.9973,8,0.5
706,0.0083,0.9973,8,0.5
707,0.0082,0.9973,8,0.5
708,0.0079,0.9973,8,0.5
709,0.0077,0.9973,8,0.5
710,0.0077,0.9973,8,0.5
711,0.0076,0.9973,8,0.5
712,0.0073,0.9973,8,0.5
713,0.0073,0.9973,8,0.5
714,0.0073,0.9973,8,0.5
715,0.0073,0.9973,8,0.5
716,0.0073,0.9973,8,0.5
717,0.0071,0.9973,8,0.5
718,0.0071,0.9973,8,0.5
719,0.0071,0.9973,8,0.5
720,0.0069,0.9973,8,0.5
721,0.0069,0.9973,8,0.5
722,0.0069,0.9973,8,0.5
723,0.0069,0.9973,8,0.5
724,0.0068,0.9973,8,0.5
725,0.0065,0.9973,8,0.5
726,0.0063,0.9973,8,0.5
727,0.0063,0.9973,8,0.5
728,0.006,0.9973,8,0.5
729,0.006,0.9973,8,0.5
730,0.006,0.9973,8,0.5
731,0.006,0.9973,8,0.5
732,0.0059,0.9973,8,0.5
733,0.0059,0.9973,8,0.5
734,0.0059,0.9973,8,0.5
735,0.0059,0.9973,8,0.5
736,0.0057,0.9973,8,0.5
737,0.0057,0.9973,8,0.5
738,0.0057,0.9973,8,0.5
739,0.0057,0.9973,8,0.5
740,0.0057,0.9973,8,0.5
741,0.0057,0.9973,8,0.5
742,0.0057,0.9973,8,0.5
743,0.0057,0.9973,8,0.5
744,0.0057,0.9973,8,0.5
745,0.0057,0.9973,8,0.5
746,0.0057,0.9973,8,0.5
747,0.0056,0.9973,8,0.5
748,0.0054,0.9973,8,0.5
749,0.0051,0.9973,8,0.5
750,0.0049,0.9973,8,0.5
751,0.0049,0.9973,8,0.5
752,0.0049,0.9973,8,0.5
753,0.0048,0.997,8,0.5
754,0.0048,0.997,8,0.5
755,0.0048,0.997,8,0.5
756,0.0048,0.997,8,0.5
757,0.0048,0.997,8,0.5
758,0.0048,0.997,8,0.5
759,0.0048,0.997,8,0.5
760,0.0048,0.997,8,0.5
761,0.0048,0.997,8,0.5
762,0.0047,0.997,8,0.5
763,0.0046,0.997,8,0.5
764,0.0046,0.997,8,0.5
765,0.0045,0.997,8,0.5
766,0.0045,0.997,8,0.5
767,0.0043,0.997,8,0.5
768,0.0041,0.997,8,0.5
769,0.004,0.997,8,0.5
770,0.0038,0.997,8,0.5
771,0.0038,0.997,8,0.5
772,0.0036,0.997,8,0.5
773,0.0035,0.997,8,0.5
774,0.0033,0.997,8,0.5
775,0.0032,0.997,8,0.5
776,0.003,0.997,8,0.5
777,0.0029,0.997,8,0.5
778,0.0028,0.997,8,0.5
779,0.0026,0.997,8,0.5
780,0.0025,0.997,8,0.5
781,0.0023,0.997,8,0.5
782,0.0022,0.997,8,0.5
783,0.002,0.997,8,0.5
784,0.0019,0.997,8,0.5
785,0.0017,0.997,8,0.5
786,0.0015,0.997,8,0.5
787,0.0013,0.997,8,0.5
788,0.0012,0.997,8,0.5
789,0.001,0.997,8,0.5
790,0.0008,0.997,8,0.5
791,0.0006,0.997,8,0.5
792,0.0005,0.997,8,0.5
793,0.0002,0.997,8,0.5
794,0.0001,0.997,8,0.5
795,0.0,0.9967,8,0.5
